Timestamp,ACCESS-CM2_ssp126,ACCESS-CM2_ssp245,ACCESS-CM2_ssp370,ACCESS-CM2_ssp585,CNRM-CM6-1_ssp126,CNRM-CM6-1_ssp245,CNRM-CM6-1_ssp370,CNRM-CM6-1_ssp585,INM-CM4-8_ssp126,INM-CM4-8_ssp245,INM-CM4-8_ssp370,INM-CM4-8_ssp585,INM-CM5-0_ssp126,INM-CM5-0_ssp245,INM-CM5-0_ssp370,INM-CM5-0_ssp585,MIROC6_ssp126,MIROC6_ssp245,MIROC6_ssp370,MIROC6_ssp585,MIROC-ES2L_ssp126,MIROC-ES2L_ssp245,MIROC-ES2L_ssp370,MIROC-ES2L_ssp585,MPI-ESM1-2-LR_ssp126,MPI-ESM1-2-LR_ssp245,MPI-ESM1-2-LR_ssp370,MPI-ESM1-2-LR_ssp585,MRI-ESM2-0_ssp126,MRI-ESM2-0_ssp245,MRI-ESM2-0_ssp370,MRI-ESM2-0_ssp585,NorESM2-MM_ssp126,NorESM2-MM_ssp245,NorESM2-MM_ssp370,NorESM2-MM_ssp585
01-04-2004,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071
08-04-2004,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071
15-04-2004,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071
22-04-2004,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071,-0.467085308399071
29-04-2004,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718
06-05-2004,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718
13-05-2004,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718
20-05-2004,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718
27-05-2004,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718,-0.2367486709392718
03-06-2004,-0.5836844595973725,-0.5836844595973725,-0.5836844595973725,-0.5836844595973725,-0.5836844595973725,-0.5836844595973725,-0.5836844595973725,-0.5836844595973725,-0.5836844595973725,-0.5836844595973725,-0.5836844595973725,-0.5836844595973725,-0.5836844595973725,-0.5836844595973725,-0.5836844595973725,-0.5836844595973725,-0.5836844595973725,-0.5836844595973725,-0.5836844595973725,-0.5836844595973725,-0.5836844595973725,-0.5836844595973725,-0.5836844595973725,-0.5836844595973725,-0.5836844595973725,-0.5836844595973725,-0.5836844595973725,-0.5836844595973725,-0.5836844595973725,-0.5836844595973725,-0.5836844595973725,-0.5836844595973725,-0.5836844595973725,-0.5836844595973725,-0.5836844595973725,-0.5836844595973725
