Timestamp,ACCESS-CM2_ssp126,ACCESS-CM2_ssp245,ACCESS-CM2_ssp370,ACCESS-CM2_ssp585,CNRM-CM6-1_ssp126,CNRM-CM6-1_ssp245,CNRM-CM6-1_ssp370,CNRM-CM6-1_ssp585,INM-CM4-8_ssp126,INM-CM4-8_ssp245,INM-CM4-8_ssp370,INM-CM4-8_ssp585,INM-CM5-0_ssp126,INM-CM5-0_ssp245,INM-CM5-0_ssp370,INM-CM5-0_ssp585,MIROC6_ssp126,MIROC6_ssp245,MIROC6_ssp370,MIROC6_ssp585,MIROC-ES2L_ssp126,MIROC-ES2L_ssp245,MIROC-ES2L_ssp370,MIROC-ES2L_ssp585,MPI-ESM1-2-LR_ssp126,MPI-ESM1-2-LR_ssp245,MPI-ESM1-2-LR_ssp370,MPI-ESM1-2-LR_ssp585,MRI-ESM2-0_ssp126,MRI-ESM2-0_ssp245,MRI-ESM2-0_ssp370,MRI-ESM2-0_ssp585,NorESM2-MM_ssp126,NorESM2-MM_ssp245,NorESM2-MM_ssp370,NorESM2-MM_ssp585
02-07-2093,4.904598,3.494586,5.653129,3.936796,4.525527300782252,4.138098,3.462208,3.418596,9.449022741881308,5.745924135455247,3.168872630620551,3.9377,4.386325,6.257207172198652,5.563754217987249,3.366263357062583,6.534311051434117,3.257752457949439,2.999684,3.062898,12.336069594109098,7.732223165769071,3.219891465320748,4.466623312507459,3.662445113572546,3.699967,3.609447,3.472881,7.245681026463554,5.092687000000001,3.184319,2.93111,3.516462,4.3758089220621725,3.414293,4.359084
09-07-2093,4.889231592762028,3.0219429714925603,5.169309999999999,3.506063,4.149031158800393,3.684038,3.076145,2.929847,5.466754793696333,4.735926030148814,2.519476423709687,3.52063,7.974017993986997,3.969175776146036,4.005039749528539,2.906570224471665,4.862534076589044,2.7777381636862417,2.579328,2.638865,8.641025063244452,5.448545161064654,2.6442193119590045,4.122955206598928,3.2348735001123425,3.260259546990267,3.13817,2.953055,4.003779356359377,4.704689,2.726324,2.479824,3.014879,3.8293698691651463,3.034513,4.052988
16-07-2093,6.297049030481755,4.312821859527971,6.50946,4.834821,5.586742817913074,5.014635999999999,4.468313,4.212538,7.163420458849904,6.281669352530284,3.952378437211688,4.902098,10.201037814847036,5.395033918225018,5.462027431718414,4.243133221603136,6.218402596784108,4.110346527681906,3.940456,3.988306,10.437271931746595,7.023933239556943,4.023325268822172,5.580589738626294,4.591254383318719,4.569747636873632,4.454365999999999,4.201478000000001,5.422472106970574,6.131817,4.029713,3.790372,4.2977680000000005,5.163561363437697,4.529368,5.523559
23-07-2093,7.341441644522737,5.304779251169743,7.58004,5.841755,6.7655030529301445,6.039613,5.540966,5.196218,8.283992082969636,7.425820686025542,5.002534701455729,5.977936,11.498650095045456,6.507018929958102,6.63427549198295,5.277945837320643,7.355344769452079,5.141999072609313,4.993153,5.0434,11.535100228264865,8.218605713533375,5.076400799777653,6.767023789053247,5.6242833120225,5.589843204935483,5.48454,5.137404,6.576314088367269,7.29732,5.014836,4.7864830000000005,5.296185,6.228451405963029,5.744125,6.6517800000000005
30-07-2093,13.36234914884558,11.04632033289383,13.32192,11.58672,12.719939341222702,11.79765,11.32773,10.92038,15.524391756768336,14.068284664170951,11.02973462380058,11.7831,19.70771275190049,12.671824136130455,12.804983434839652,11.076624165147914,13.416856558634718,10.888217943271025,10.7859,10.8544,19.05696708126214,14.7357179356402,11.015294497185913,12.73003111179173,11.540035307297552,11.420982218651952,11.27164,10.81029,12.601908869078096,13.25321,10.7379,10.51144,11.08783,12.234652808655268,11.70662,12.46593
06-08-2093,9.420448997811054,7.245660008908569,9.56668,7.867520000000001,9.186514513403422,8.05657,7.59647,7.13912,10.47116561400471,9.782099528242398,6.995825784074291,8.07228,13.419493986259006,8.758743197267096,8.961075844244956,7.358844989613881,9.864756467160856,7.115327200831865,7.07289,7.164960000000001,13.50586001874819,10.487240324413444,7.132398370693876,9.223050365430458,7.752442549039345,7.752640071563434,7.577949999999999,6.98892,9.01164293909169,9.75792,6.96239,6.7394,7.44034,8.532046319360353,8.193249999999999,8.758790000000001
13-08-2093,9.475681253706483,6.598760315949677,9.01139,7.34876,8.78843,7.48108,7.02055,6.53263,6.987929451287638,7.993740000000001,5.97067268528688,7.52087,19.45619795104233,7.71048,8.062753066758596,6.797607261061985,9.41749,6.50461653134359,6.51212,6.62159,9.1481,8.749864895133346,6.268183922032078,8.898048101305381,7.1256900000000005,7.270542749370082,7.07408,6.344617,8.56271,9.4734,6.359034,6.139253,6.978400000000001,7.854737541423298,7.85939,8.196439999999999
20-08-2093,19.23559147080821,15.5154720066941,17.93338,16.31318,17.84648,16.42108,15.96658,15.45495,15.968386459319497,17.21318,14.987821197365006,16.49208,33.81561266553867,16.81068,17.159033962638027,15.788859065839157,18.62648,15.42989400342712,15.47567,15.58988,18.40348,17.930495562565966,15.243760248717308,18.087078304098515,16.316580000000002,16.365384389751302,16.08408,15.24127,17.83178,18.76848,15.28541,15.069590000000002,16.05468,16.81487289001183,17.04088,17.11278
27-08-2093,13.65274155274313,9.96357866028325,12.35019,10.76946,12.3793,10.86807,10.45706,9.90988,10.482355843895215,12.00296,9.379215067927182,10.97271,22.991289080806027,11.39727,11.538524231732444,10.310576643259342,13.31443,9.88790485587818,9.9619,10.07242,13.25355,12.22982424718141,9.721280677096138,12.737454615443024,11.0742,10.932727368181524,10.58144,9.67482,12.57616,13.62508,9.7404,9.53548,10.65804,11.25168037819052,11.72569,11.53173
03-09-2093,15.890793850300936,11.685163900795672,13.99675,12.45307,14.12429,12.55919,12.206,11.61572,12.24568414780414,14.05413,11.11064356980671,12.67973,26.916630574364216,13.20281,13.23129362241828,12.089229545889127,15.22607,11.6021241872003,11.69348,11.79359,15.34033,13.957821336084312,11.46010322158371,14.555029993626247,13.05904,12.714186080293532,12.31534,11.37065,14.49542,15.74752,11.45512,11.25616,12.50684,12.942320229770928,13.64702,13.19633
