OBJECTID,Export_Out,Shape_Leng,Shape_Area,mean_ice_t,n,area
"391",A-051,12926.76062880000,3720314.27150999987,45.55560170990,"1",3.72031427151
"392",A-052,20894.43883640000,4561354.76819999982,48.99382707970,"1",4.56135476820
"405",A-065,8805.72614765000,1470940.14510999992,32.70967848780,"1",1.47094014511
"406",A-066,10165.72159780000,2107957.66464000009,37.19320062430,"1",2.10795766464
"407",A-067,41641.05117720001,11616249.45020000078,68.40272398640,"1",11.61624945020
"408",A-069,14329.42220940000,2252593.93273000000,38.08488590660,"1",2.25259393273
"412",A-075,11024.32300110000,1816926.24448999995,35.27185296660,"1",1.81692624449
"484",C-004,16099.09846730000,2385818.67507999996,38.87419634370,"1",2.38581867508
"486",C-006,9938.27454970000,1346815.78865000000,31.69625024720,"1",1.34681578865
"488",C-008,52670.14741490000,12129079.21580000035,69.46585671650,"1",12.12907921580
"489",C-011,13387.30993700000,2436889.46767000016,39.16924961660,"1",2.43688946767
"491",C-013,28078.83752030000,4645611.76044000033,49.31501615770,"1",4.64561176044
"493",C-015,9659.63583031000,1398066.84156000009,32.12168604270,"1",1.39806684156
"494",C-016,17464.51173320000,3350157.24008999998,43.88267902460,"1",3.35015724009
"495",C-017,20450.16605280000,4368332.68988000043,48.24336220130,"1",4.36833268988
"510",C-043,14452.84857460000,2992310.53114000009,42.14821997460,"1",2.99231053114
"513",C-046,23073.52540760000,7625732.51853000093,58.85988099870,"1",7.62573251853
"569",D-015,4562.96003652000,712069.64827100001,25.24616308890,"1",0.71206964827
"617",D-066,17293.63024450000,5599241.59384999983,52.71412314460,"1",5.59924159385
"618",D-067,14642.79876020000,3052007.87171000009,42.44650501380,"1",3.05200787171
"620",D-069,25795.00069130000,6011468.96884000022,54.06807874670,"1",6.01146896884
"637",D-088,20116.04955720000,3897592.05395000009,46.31899930090,"1",3.89759205395
"690",F-046,31304.87797580000,8625275.90128999949,61.50576429340,"1",8.62527590129
"704",F-062,18312.04810110000,4524070.62774999999,48.85048134340,"1",4.52407062775
"706",F-065,5815.57397095000,1377533.12428000011,31.95245943180,"1",1.37753312428
"734",F-102,14535.43583780000,3332644.31130000018,43.80064645550,"1",3.33264431130
"798",G-023,39533.44065110000,16211742.49499999918,77.04670348980,"1",16.21174249500
"801",G-028,28399.43266590000,11956177.18640000001,69.11070548440,"1",11.95617718640
"802",G-029,37468.95180910000,14594862.94539999962,74.21031371600,"1",14.59486294540
"806",G-033,70167.43666969999,27014282.36670000106,92.45357652530,"1",27.01428236670
"440",B-027,43535.67477920000,12915929.54289999790,71.04225254540,"1",0.05779589674
"440",B-027,43535.67477920000,12915929.54289999790,71.04225254540,"1",10.93168525040
